icd10,icd9
E1351,25072
E1360,25080
E1361,25082
E1370,25080
E1371,25082
E1380,25090
E1381,25092
E1390,25000
E1391,25002
E1400,25030
E1401,25032
E1410,25010
E1411,25012
E1420,25040
E1421,25042
E1430,25050
E1431,25051
E1440,25060
E1441,25062
E1450,25070
E1451,25072
E1460,25080
E1461,25082
E1470,25080
E1471,25082
E1480,25090
E1481,25092
E1490,25000
E1491,25002
E15,2510
E160,2511
E161,2511
E162,2512
E163,2514
E164,2515
E168,2518
E169,2519
E200,2521
E201,2754
E208,2521
E209,2521
E210,2520
E211,2520
E212,2520
E213,2520
E214,2528
E215,2529
E220,2530
E221,2531
E222,2536
E228,2531
E229,2531
E230,2532
E231,2537
E232,2535
E233,2534
E236,2538
E237,2539
E240,2550
E241,2550
E242,2550
E243,2550
E244,2550
E248,2550
E249,2550
E250,2552
E258,2552
E259,2552
E260,2551
E261,2551
E268,2551
E269,2551
E270,2553
E271,2554
E272,2554
E273,2554
E274,2555
E275,2556
E278,2558
E279,2559
E280,2560
E281,2561
E282,2564
E283,2563
E288,2568
E289,2569
E290,2570
E291,2572
E298,2578
E299,2579
E300,2590
E301,2591
E308,2591
E309,2591
E310,2581
E311,2588
E318,2588
E319,2589
E320,2540
E321,2541
E328,2548
E329,2549
E340,2592
E341,2598
E342,2593
E343,2594
E344,V218
E345,2578
E348,2598
E349,2599
E350,2468
E351,2558
E358,2598
E40,260
E41,261
E42,260
E43,262
E440,2630
E441,2631
E45,2632
E46,2639
E500,2640
E501,2641
E502,2642
E503,2643
E504,2644
E505,2645
E506,2646
E507,2647
E508,2648
E509,2649
E511,2650
E512,2651
E518,2651
E519,2651
E52,2652
E530,2660
E531,2661
E538,2662
E539,2669
E54,267
E550,2680
E559,2689
E560,2691
E561,2690
E568,2691
E569,2692
E58,2693
E59,2693
E60,2693
E610,2693
E611,2693
E612,2693
E613,2693
E614,2693
E615,2693
E616,2693
E617,2693
E618,2698
E619,2699
E630,2698
E631,2698
E638,2698
E639,2699
E640,2638
E641,2648
E642,267
E643,2681
E648,2698
E649,2699
E65,2781
E660,27801
E661,27801
E662,27801
E668,27801
E669,27800
E670,2782
E671,2783
E672,2788
E673,2784
E678,2788
E68,2788
E700,2701
E701,2701
E702,2700
E703,2702
E708,2702
E709,2702
E710,2703
E711,2703
E712,2703
E713,2724
E720,2700
E721,2704
E722,2706
E723,2707
E724,2706
E725,2707
E728,2708
E729,2709
E730,2713
E731,2713
E738,2713
E739,2713
E740,2710
E741,2712
E742,2711
E743,2713
E744,2718
E748,2718
E749,2719
E750,3301
E751,3301
E752,2727
E753,2727
E754,3301
E755,2727
E756,2727
E760,2775
E761,2775
E762,2775
E763,2775
E768,2775
E769,2775
E770,2727
E771,2718
E778,2718
E779,2719
E780,2720
E781,2721
E782,2722
E783,2723
E784,2724
E785,2724
E786,2725
E788,2728
E789,2729
E790,2772
E791,2772
E798,2772
E799,2772
E800,2771
E801,2771
E802,2771
E803,2778
E804,2774
E805,2774
E806,2774
E807,2774
E830,2751
E831,2750
E832,2758
E833,2753
E834,2752
E835,2754
E838,2758
E839,2759
E840,27700
E841,27701
E848,27700
E849,27700
E850,27739
E851,27739
E852,27739
E853,27731
E854,27739
E858,27739
E859,27739
E86,2765
E870,2760
E871,2761
E872,2762
E873,2763
E874,2764
E875,2767
E876,2768
E877,2766
E878,2769
E880,2776
E881,2726
E882,2728
E888,2778
E889,2779
E890,2440
E891,2513
E892,2521
E893,2537
E894,2562
E895,2571
E896,2555
E898,2598
E899,2599
E90,2778
F000,29010
F001,2900
F002,2900
F009,2900
F010,29040
F011,29040
F012,29040
F013,29040
F018,29040
F019,29040
F020,29010
F021,29010
F022,2941
F023,2941
F024,2949
F028,2941
F03,2949
F04,29409
F050,2930
F051,29011
F058,2930
F059,2930
F060,29382
F061,29389
F062,29381
F063,29389
F064,29389
F065,29389
F066,29389
F067,29389
F068,2948
F069,2949
F070,3101
F071,3108
F072,3102
F078,3108
F079,3109
F09,2949
F100,30500
F101,30500
F102,30390
F103,2918
F104,2910
F105,2918
F106,2911
F107,2912
F108,2918
F109,2919
F110,30550
F111,30550
F112,30400
F113,2920
F114,2920
F115,29289
F116,29283
F117,29289
F118,29289
F119,2929
F120,30520
F121,30520
F122,30430
F123,2920
F124,2920
F125,29289
F126,29283
F127,29289
F128,29289
F129,2929
F130,30540
F131,30540
F132,30410
F133,2920
F134,2920
F135,29289
F136,29283
F137,29289
F138,29289
F139,2929
F140,30560
F141,30560
F142,30420
F143,2920
F144,2920
F145,29289
F146,29283
F147,29289
F148,29289
F149,2929
F150,30570
F151,30570
F152,30440
F153,2920
F154,2920
F155,29289
F156,29283
F157,29289
F158,29289
F159,2929
F160,30530
F161,30530
F162,30450
F163,2920
F164,2920
F165,29289
F166,29283
F167,29289
F168,29289
F169,2929
F170,3051
F171,3051
F172,30460
F173,2920
F174,2920
F175,29289
F176,29283
F177,29289
F178,29289
F179,2929
F180,30590
F181,30590
F182,30460
F183,2920
F184,2920
F185,29289
F186,29283
F187,29289
F188,29289
F189,2929
F190,30590
F191,30590
F192,30480
F193,2920
F194,2920
F195,29289
F196,29283
F197,29289
F198,29289
F199,2929
F200,29530
F201,29510
F202,29520
F203,29590
F204,3004
F205,29560
F206,29500
F208,29580
F209,29590
F21,29550
F220,2971
F228,2978
F229,2979
F230,2983
F231,29540
F232,29540
F233,2983
F238,2988
F239,2988
F24,2973
F250,29570
F251,29570
F252,29570
F258,29580
F259,29590
F28,2988
F29,2989
F300,29600
F301,29600
F302,29600
F308,29640
F309,29600
F310,29640
F311,29640
F312,29640
F313,29651
F314,29653
F315,29654
F316,29660
